"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"VIA-0.7x0.35";129;"VIA-0.7x0.35";;;
2;"RN2,RN4";"R_Array_Convex_4x0603";2;"68R";;;
3;"C28,C20,C26,C30,C18,C23";"C_0805";6;"1u 16V";;;
4;"C19,C2,C3,C5,C17,C21,C22,C24,C25,C27,C29";"C_0402";11;"100n 16V";;;
5;"C13,C8,C11,C12";"C_0402";4;"1n";;;
6;"C1";"C_0805";1;"1u 25V";;;
7;"C4,C6";"C_0805";2;"4u7 25V";;;
8;"C7";"C_0805";1;"10u 25V";;;
9;"C9,C10";"C_0402";2;"10n";;;
10;"C14";"C_0402";1;"1n3 16V";;;
11;"C15,C16";"C_0805";2;"10u 6V3";;;
12;"D1,D2";"LED_0603";2;"LED_ALT";;;
13;"D3,D4,D5,D6";"D_SMA_Standard";4;"D_TVS";;;
14;"D7";"SOT-23-5";1;"SP0504BAHT";;;
15;"J1";"USB_Micro-B_Molex_47346-0001";1;"USB_OTG";;;
16;"J2";"Pin_Header_Straight_2x05_Pitch1.27mm_SMD";1;"CONN_02X05";;;
17;"L1";"Neosid_Inductor_SM-NE29_SMD1008";1;"LQM2HPN1R5MG0L";;;
18;"L2";"L_CommonMode_Wuerth_WE-SL2";1;"WE-SL2";;;
19;"L3,L4,L5";"L_0603";3;"WE-CBF 742792651";;;
20;"P1,P2";"PM_5.08_2";2;"CONN_01X02";;;
21;"Q1";"ASEM1";1;"ASEM1";;;
22;"Q2,Q3,Q5,Q6,Q8,Q9,Q10,Q12";"SC-59";8;"DMN1019USN";;;
23;"Q4,Q7,Q11";"X2-WLB0808-4";3;"DMP1100UCB4";;;
24;"R1,R2,R6,R9,R21";"R_0402";5;"10k";;;
25;"R3";"R_0402";1;"DNI";;;
26;"R4,R5,R10,R18";"R_0402";4;"100k";;;
27;"R7,R8";"R_0402";2;"1k5";;;
28;"R11,R12,R13,R14";"R_0402";4;"TBD R";;;
29;"R15";"R_1206_RTD_SPLITPADS";1;"RTD PT1000 DNI";;;
30;"R16";"R_0603";1;"2k 0.01%";;;
31;"R17";"R_0603";1;"2K 0.01%";;;
32;"R19,R20";"R_0402";2;"15R";;;
33;"R22";"R_0402";1;"0R";;;
34;"RN1,RN3,RN5";"R_Array_Convex_4x0603";3;"10k";;;
35;"U1";"TPS229x";1;"TPS2290x";;;
36;"U2";"QFN-16-1EP_3x3mm_Pitch0.5mm";1;"BQ24079";;;
37;"U3";"QFN-20-1EP_5x5mm_Pitch0.65mm";1;"MAX31865";;;
38;"U4";"LQFP-32_7x7mm_Pitch0.8mm";1;"STM32F042K6Tx";;;
39;"U5";"RWM0012A";1;"TPS63051";;;
40;"U6,U7,U8";"VDMx10.0";3;"7SEGMENT_CA";;;
41;"P3,P4";"Pin_Header_Straight_1x02_Pitch2.54mm";2;"CONN_01X02";;;
42;"SW1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"SW_SPST";;;
